EventId,EventTemplate,Occurrences,raw_EventId
0,instruction cache parity error corrected,105924,E208
1,MidplaneSwitchController performing bit sparing on <*> bit <*>,964,E93
2,generating core.<*>,1706751,E310
3,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*> bit <*>",33939,E94
4,<*> L3 <*> error(s) (dcr <*>) detected and corrected,4978,E218
5,"CE sym <*>, at <*>, mask <*>",201206,E314
6,total of <*> ddr error(s) detected and corrected,28485,E191
7,ddr: activating redundant bit steering: rank=<*> symbol=<*>,1314,E95
8,"ddr: excessive soft failures, consider replacing the card",41,E86
9,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",47504,E35
10,<*> double-hummer alignment exceptions,295764,E237
11,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,7847,E99
12,idoproxydb has been started: $Name: <*> $ Input parameters: <*>,114,E98
13,ciodb has been restarted.,129,E280
14,ciod: LOGIN chdir(<*>) failed: No such file or directory,43647,E118
15,data TLB error interrupt,152734,E285
16,instruction address: <*>,51227,E301
17,machine check interrupt,161,E286
18,machine check status register: <*>,246,E265
19,summary...........................<*>,244,E220
20,instruction plb error.............<*>,298,E234
21,data read plb error...............<*>,297,E248
22,data write plb error..............<*>,296,E246
23,tlb error.........................<*>,296,E227
24,i-cache parity error..............<*>,296,E238
25,d-cache search parity error.......<*>,294,E249
26,d-cache flush parity error.......<*>,294,E255
27,imprecise machine check...........<*>,289,E243
28,machine state register: <*>,8459,E294
29,wait state enable.................<*>,6745,E235
30,critical input interrupt enable...<*>,6559,E251
31,external input interrupt enable...<*>,6556,E250
32,"problem state (<*>=sup,<*>=usr).......<*>",6546,E256
33,floating point instr. enabled.....<*>,6541,E247
34,machine check enable..............<*>,6538,E239
35,floating pt ex mode <*> enable......<*>,13044,E262
36,debug wait enable.................<*>,6524,E241
37,debug interrupt enable............<*>,6521,E236
38,instruction address space.........<*>,6506,E233
39,data address space................<*>,6503,E242
40,core configuration register: <*>,6431,E267
41,disable store gathering..................<*>,6495,E174
42,disable apu instruction broadcast........<*>,2396,E197
43,disable trace broadcast..................<*>,2393,E171
44,guaranteed instruction cache block touch.<*>,2390,E203
45,guaranteed data cache block touch........<*>,2389,E205
46,force load/store alignment...............<*>,2389,E183
47,icache prefetch depth....................<*>,2389,E169
48,general purpose registers:,2318,E269
49,special purpose registers:,2316,E273
50,lr:<*> cr:<*> xer:<*> ctr:<*>,2316,E313
51,rts panic! - stopping execution,3983,E264
52,<*> torus receiver <*> input pipe error(s) (dcr <*>) detected and corrected,10487,E70
53,rts internal error,2187,E306
54,ciod: Message code <*> is not <*> or <*>,2278,E279
