EventId,Raw_Event_id,EventTemplate,Occurrences,short_temp,prediction
1,9b7aa7a3,Receiving block blk_<*> src: <*> dest: /<*>:50010,1723232,Receiving block from source to destination.,Normal
2,2f313c72,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:50010 is added to blk_<*> size <*>,1719741,Block added to block map.,Normal
3,2e1cf0aa,PacketResponder <*> for block blk_<*> <*>,1706728,PacketResponder for block.,Normal
4,797b9c47,Received block blk_<*> of size <*> from /<*>,1706514,Received block of size from.,Normal
5,b0023896,Deleting block blk_<*> file <*><*>,1402047,Deleting block file.,Normal
6,bb837bbd,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:50010,1396174,Block deleted from invalid set.,Abnormal
7,81358cb3,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,575061,Allocate block in NameSystem.,Normal
8,6caae5bd,<*>:50010 Served block blk_<*> to /<*>,428726,Served block to /<*>.,Normal
9,be6f070c,<*>:50010:Got exception while serving blk_<*> to /<*>:,356207,Got exception serving block.,Abnormal
10,d23206c6,Verification succeeded for blk_<*>,120036,Verification succeeded.,Normal
11,fa05ffa7,Received block blk_<*> src: <*> dest: /<*>:50010 of size <*>,7097,Received block from source to destination.,Normal
12,53c00e5f,<*>:50010:Transmitted block blk_<*> to /<*>:50010,6937,Transmitted block to destination.,Normal
13,d7507d1e,BLOCK* ask <*>:50010 to replicate blk_<*> to datanode(s) <*>:50010,6837,Replicate block to datanode.,Normal
14,0d168c98,<*>:50010 Starting thread to transfer block blk_<*> to <*>:50010,6837,Starting block transfer thread.,Normal
15,cf9b33dc,Unexpected error trying to delete block blk_<*>. BlockInfo not found in volumeMap.,5545,Error deleting block. BlockInfo not found.,Abnormal
16,d6115493,writeBlock blk_<*> received exception java.io.IOException: Could not read from stream,3226,writeBlock exception: Could not read.,Abnormal
17,46f6e99a,Receiving empty packet for block blk_<*>,1464,Empty packet received.,Abnormal
18,b46e298a,BLOCK* NameSystem.addStoredBlock: addStoredBlock request received for blk_<*> on <*>:50010 size <*> But it does not belong to any file.,1288,Add stored block request received.,Normal
