seq_id,BlockId,EventSequence,Label
107396,blk_5321056764407740209,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 6, 6, 6, 5, 5, 5]",0
412571,blk_-3477372135918515549,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
12449,blk_-5080585356205251103,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 5]",0
254940,blk_-8226944023290425747,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
551630,blk_-3101556426284157728,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
399085,blk_-4828277283587450224,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
185102,blk_-687777979634839651,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 6, 6, 6, 5, 5, 5]",0
180878,blk_3844239867288909851,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
336821,blk_-8156241198642537326,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
432793,blk_3209176826497451236,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
219689,blk_-7253985822582635006,"[1, 1, 1, 7, 3, 4, 3, 4, 2, 3, 4, 2, 2, 6, 6, 6, 5, 5, 5]",0
508541,blk_6000837850922531821,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
119078,blk_731062719519076952,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 5]",0
293359,blk_-5280448077451887989,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
207918,blk_3053633569427536052,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
200182,blk_183677676593006620,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
172263,blk_1126090036041487450,"[1, 1, 1, 7, 4, 3, 4, 3, 4, 2, 2, 2, 3, 9, 8, 9, 6, 6, 6, 5, 5, 5]",0
209754,blk_5634918858049468007,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
556408,blk_2367551255370412157,"[1, 1, 1, 7, 3, 4, 2, 3, 4, 3, 4, 2, 2, 6, 6, 6, 5, 5, 5]",0
571497,blk_-5899519980980940930,"[1, 1, 1, 7, 2, 3, 4, 3, 4, 3, 4, 2, 2, 6, 6, 6, 5, 5, 5]",0
156012,blk_2112250480609312766,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 8, 9, 8, 8, 9, 8, 6, 6, 6, 5, 5, 5]",0
131783,blk_2784093487706869014,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 6, 6, 6, 5, 5, 5]",0
113649,blk_6559628574824880805,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 10, 6, 6, 6, 5, 5, 5]",0
50653,blk_-6500858188442006502,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 6, 6, 6, 5, 5, 5]",0
108956,blk_2663842917799602150,"[7, 1, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 8, 9, 6, 6, 6, 5, 5, 5]",0
138272,blk_-7460958677245787682,"[7, 1, 1, 1, 3, 4, 2, 2, 2, 3, 4, 3, 4, 9, 9, 8, 6, 6, 6, 5, 5, 5]",0
532004,blk_-1589175099680941039,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
471994,blk_1268474869677590573,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
473157,blk_8238492376373451439,"[1, 1, 1, 7, 3, 4, 2, 3, 4, 3, 4, 2, 2]",0
496188,blk_-5365755224409009744,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
39351,blk_4871907285629530900,"[7, 1, 1, 1, 2, 3, 4, 2, 3, 4, 2, 3, 4, 10, 6, 6, 6, 5, 5, 5]",0
265720,blk_-6955703889323766370,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
522190,blk_4474783325675741798,"[1, 1, 7, 1, 3, 4, 3, 4, 2, 3, 4, 2, 2]",0
497510,blk_1271705700539657945,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
284150,blk_-4331498229796357845,"[1, 1, 1, 7, 3, 4, 3, 4, 2, 2, 3, 4, 2, 6, 6, 6, 5, 5, 5]",0
463093,blk_5611300164766258326,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
377901,blk_-8812374216501015607,"[7, 1, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
189017,blk_-7329820335380409396,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
47793,blk_-5656071982982551323,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 6, 6, 6, 5, 5, 5]",0
535279,blk_-1194685037061874953,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
464052,blk_-1224133909457959013,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
324559,blk_-4925537850164373662,"[1, 1, 1, 7, 3, 4, 3, 4, 4, 2, 3, 2, 2]",0
396564,blk_5634774798235209594,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
