,EventId,ori_EventId,EventTemplate
0,118,ba463c69,in.tftpd[<*>]: tftp: client does not accept options
1,301,85f57867,<*> warning: <*> <*> <*> <*> <*> No such file or directory
2,561,2ace5bac,"syslog-ng[<*>]: Connection broken to AF_INET(tbird-admin<*>:<*>), reopening in <*> seconds"
3,29,a18e9fc6,sendmail[<*>]: My unqualified host name <*> unknown; sleeping for retry
4,18,1800ad2a,ntpd[<*>]: synchronized to <*> stratum <*>
5,17,7ececea2,ib_sm.x[<*>]: [ib_sm_sweep.c:<*>]: <*> <*> <*>
6,19,750f8375,ib_sm.x[<*>]: [ib_sm_sweep.c:<*>]: <*> <*> <*> <*>
7,1,8fbc6c52,<*> session opened for user <*> by <*>
8,5,19f486cc,sshd[<*>]: <*> <*> for <*> from <*> port <*> ssh<*>
9,16,669b543e,xinetd[<*>]: <*> <*> <*> from=<*>
10,314,7f2df4b7,logger: Kickstart Install: <*> <*> <*> <*> <*> <*>
11,302,dedc63ba,logger: Kickstart: <*> <*>
12,104,a8187e06,logger: Kickstart Install: <*> <*> <*> <*>
13,161,c46f96ad,logger: Kickstart: setup <*> <*> <*> <*> <*>
14,162,a8dd906a,userhelper[<*>]: pam_timestamp: updated timestamp file <*>
15,305,f0f90798,userhelper[<*>]: running '/usr/sbin/up<*>date --nox -i <*> with root privileges on behalf of 'root'
16,102,888cc6d6,gmond: gmond <*> succeeded
17,131,a527f84e,logger: Kickstart Install: <*> <*> <*>
18,61,dc8d5946,ntpd[<*>]: kernel time sync <*> <*>
19,1094,5e363604,mysql_install_db: Installing all prepared tables
20,179,61d6269c,<*> <*> NFS <*> succeeded
21,22,3e9ef557,<*> <*> startup succeeded
22,99,7f11d6e5,<*> succeeded
23,41,a03d5f58,ntpd[<*>]: Listening on interface <*> <*>
24,141,ff61e534,ntpd[<*>]: ntpd #<*>#@<*>.<*>-r Mon Oct <*> <*>:<*>:<*> EDT <*> (<*>)
25,142,ca24698c,ntpd[<*>]: precision = <*>.<*> usec
26,856,99701e9b,ntpd[<*>]: signal_no_reset: signal <*> had flags <*>
27,157,b69a8e63,ntpdate[<*>]: step time server <*> offset <*> sec
28,923,07e4535b,mysql_install_db:
29,1106,ceaa493e,mysql_install_db: /usr/bin/mysqladmin -u root -h tbird-admin<*> password 'new-password'
30,1108,d1853839,mysql_install_db: /usr/bin/mysqladmin -u root password 'new-password'
