seq_id,admin,Label,EventSequence,token_anomaly_label
28839,an72,0,"['10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78681,an62,0,"['9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78031,an233,0,"['9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66052,bn793,0,"['4', '1', '8']","[0, 0, 0]"
85140,aadmin2,0,"['18', '18', '4', '1', '8']","[0, 0, 0, 0, 0]"
83397,an632,0,"['10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66752,bn152,0,"['4', '1', '8']","[0, 0, 0]"
67909,an479,0,"['4', '1', '8']","[0, 0, 0]"
63290,an6,0,"['9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0]"
6516,cn503,0,"['164', '166', '1', '5', '34', '31', '31', '31', '31', '176', '106', '122', '295', '31', '87', '259', '35', '269', '257', '267', '103', '177', '31', '187', '31', '31', '298', '177', '167', '168', '168', '34', '31', '31', '312', '190', '31']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65498,cadmin3,0,"['4', '1', '8', '118']","[0, 0, 0, 0]"
